sales_date,store_key,store_id,store_type,product_key,product_no,product_description,product_division,product_category,product_subcategory,product_segment,gross_units_sold,returned_units,net_units_sold,gross_revenue,returned_revenue,net_revenue,transactions,year,month,quarter,day_of_week,day_of_month,week_of_year,is_weekend,return_rate,revenue_return_rate,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,demand_cv_7,demand_cv_30,product_avg_demand,store_avg_demand,target_demand_7d
2026-03-31,4,STR-1229,Retail Storefront,40,PROD-100805,PROD-102578 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear,Scholar Footwear Flight Classic,Scholar Footwear Flight Classic Zephyr,SEG-500351 Scholar Footwear Flight Classic Zephyr,1.0,0.0,1.0,76.5,0.0,76.5,1,2026,3,1,1,31,14,0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0714285714285714,0.2672612419124244,1.1333333333333333,0.3457459036417604,0.0,0.3050699149780239,1.0714285714285714,1.0421348314606742,7.0
2026-03-31,6,STR-1338,Retail Storefront,40,PROD-100805,PROD-102578 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear,Scholar Footwear Flight Classic,Scholar Footwear Flight Classic Zephyr,SEG-500351 Scholar Footwear Flight Classic Zephyr,1.0,0.0,1.0,90.0,0.0,90.0,1,2026,3,1,1,31,14,0,0.0,0.0,1.0,1.0,2.0,1.0,1.1428571428571428,0.37796447300922664,1.3571428571428572,0.633323693776651,1.2,0.6643638388299198,0.33071891388307334,0.5536365323582665,1.0880503144654088,1.0278745644599303,8.0
2026-04-02,6,STR-1338,Retail Storefront,40,PROD-100805,PROD-102578 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear,Scholar Footwear Flight Classic,Scholar Footwear Flight Classic Zephyr,SEG-500351 Scholar Footwear Flight Classic Zephyr,1.0,0.0,1.0,90.0,0.0,90.0,1,2026,4,2,3,2,14,0,0.0,0.0,1.0,1.0,1.0,0.0,1.1428571428571428,0.37796447300922664,1.2857142857142858,0.6112498455021267,1.2,0.6643638388299198,0.33071891388307334,0.5536365323582665,1.0875,1.0277777777777777,8.0
2026-04-03,6,STR-1338,Retail Storefront,40,PROD-100805,PROD-102578 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear,Scholar Footwear Flight Classic,Scholar Footwear Flight Classic Zephyr,SEG-500351 Scholar Footwear Flight Classic Zephyr,1.0,0.0,1.0,90.0,0.0,90.0,1,2026,4,2,4,3,14,0,0.0,0.0,1.0,1.0,2.0,1.0,1.1428571428571428,0.37796447300922664,1.2857142857142858,0.6112498455021267,1.2333333333333334,0.6260623155792926,0.33071891388307334,0.5076180937129399,1.0869565217391304,1.027681660899654,10.0
2026-04-04,6,STR-1338,Retail Storefront,40,PROD-100805,PROD-102578 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear,Scholar Footwear Flight Classic,Scholar Footwear Flight Classic Zephyr,SEG-500351 Scholar Footwear Flight Classic Zephyr,3.0,0.0,3.0,270.0,0.0,270.0,3,2026,4,2,5,4,14,1,0.0,0.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.37796447300922664,1.2142857142857142,0.5789342235218394,1.2333333333333334,0.6260623155792926,0.33071891388307334,0.5076180937129399,1.0864197530864197,1.0275862068965518,10.0
2026-04-14,6,STR-1338,Retail Storefront,40,PROD-100805,PROD-102578 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear,Scholar Footwear Flight Classic,Scholar Footwear Flight Classic Zephyr,SEG-500351 Scholar Footwear Flight Classic Zephyr,1.0,0.0,1.0,90.0,0.0,90.0,1,2026,4,2,1,14,16,0,0.0,0.0,3.0,1.0,3.0,1.0,1.4285714285714286,0.786795792469443,1.3571428571428572,0.744946343668492,1.3,0.7022132498578064,0.55075705472861,0.5401640383521588,1.098159509202454,1.034364261168385,9.0
2026-04-19,6,STR-1338,Retail Storefront,40,PROD-100805,PROD-102578 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear,Scholar Footwear Flight Classic,Scholar Footwear Flight Classic Zephyr,SEG-500351 Scholar Footwear Flight Classic Zephyr,1.0,0.0,1.0,90.0,0.0,90.0,1,2026,4,2,6,19,16,1,0.0,0.0,1.0,2.0,1.0,1.0,1.4285714285714286,0.786795792469443,1.2142857142857142,0.5789342235218394,1.3,0.7022132498578064,0.55075705472861,0.5401640383521588,1.0975609756097562,1.0342465753424657,9.0
2025-08-24,7,STR-1148,Retail Storefront,919,PROD-161865,PROD-101708 SEG-500224 Scholar Footwear Sandals Varied,Scholar Footwear,Scholar Footwear Sandals,Scholar Footwear Sandals Varied,SEG-500224 Scholar Footwear Sandals Varied,1.0,0.0,1.0,40.0,0.0,40.0,1,2025,8,3,6,24,34,1,0.0,0.0,2.0,2.0,1.0,2.0,1.7142857142857142,0.7559289460184546,1.3571428571428572,0.633323693776651,1.3,0.651258728182957,0.44095855184409855,0.5009682524484285,1.099009900990099,1.0108794197642792,11.0
2025-08-25,7,STR-1148,Retail Storefront,919,PROD-161865,PROD-101708 SEG-500224 Scholar Footwear Sandals Varied,Scholar Footwear,Scholar Footwear Sandals,Scholar Footwear Sandals Varied,SEG-500224 Scholar Footwear Sandals Varied,1.0,0.0,1.0,40.0,0.0,40.0,1,2025,8,3,0,25,35,0,0.0,0.0,1.0,1.0,1.0,1.0,1.5714285714285714,0.7867957924694432,1.3571428571428572,0.633323693776651,1.2666666666666666,0.6396838299494919,0.5006882315714639,0.5050135499601253,1.0980392156862746,1.0108744902582691,14.0
2026-03-21,8,STR-1006,Retail Storefront,38,PROD-100803,PROD-102577 SEG-500351 Scholar Footwear Flight Classic Zephyr,Scholar Footwear,Scholar Footwear Flight Classic,Scholar Footwear Flight Classic Zephyr,SEG-500351 Scholar Footwear Flight Classic Zephyr,3.0,0.0,3.0,256.5,0.0,256.5,3,2026,3,1,5,21,12,1,0.0,0.0,1.0,0.0,1.0,1.0,1.1428571428571428,0.8997354108424372,1.0,0.6793662204867574,1.0,0.454858826147342,0.7872684844871326,0.454858826147342,1.0595238095238095,1.0653950953678475,11.0
